log,component
Inspection found that flap actuation hydraulic pump making unusual noise,Hydraulics
Ground crew noted cargo door hydraulic lock mechanism not engaging properly,Hydraulics
Ground crew noted hydraulic system warning light illuminated during taxi,Hydraulics
Inspection found that communication radio unit experiencing static interference,Avionics
"During routine check, hydraulic pressure dropped below minimum threshold during descent",Hydraulics
flap actuation hydraulic pump making unusual noise,Hydraulics
Maintenance report: autothrottle system unresponsive during approach phase,Avionics
"During routine check, altimeter reading inconsistent with actual altitude data",Avionics
Inspection found that main landing gear failed to retract after takeoff,Landing Gear
Ground crew noted hydraulic pressure dropped below minimum threshold during descent,Hydraulics
Inspection found that hydraulic reservoir fluid level below recommended minimum,Hydraulics
Ground crew noted landing gear retraction sequence interrupted by fault signal,Landing Gear
Ground crew noted rudder hydraulic control unit pressure fluctuation observed,Hydraulics
Ground crew noted landing gear uplock mechanism failed to engage,Landing Gear
Inspection found that flight data recorder stopped logging mid-flight,Avionics
Pilot reported: instrument landing system receiver malfunction reported by crew,Avionics
nose landing gear steering system misaligned during taxi,Landing Gear
Inspection found that tire pressure on main landing gear below recommended value,Landing Gear
brake wear indicator on landing gear exceeding limit,Landing Gear
Pilot reported: landing gear retraction sequence interrupted by fault signal,Landing Gear
Maintenance report: flight management computer failed to boot on startup,Avionics
Ground crew noted thrust reverser hydraulic actuator failed to deploy fully,Hydraulics
landing gear uplock mechanism failed to engage,Landing Gear
GPS navigation unit showing intermittent signal loss during flight,Avionics
Maintenance report: gear downlock sensor giving inconsistent readings,Landing Gear
"During routine check, hydraulic hose fitting found loose during inspection",Hydraulics
"During routine check, gear downlock sensor giving inconsistent readings",Landing Gear
Ground crew noted rudder hydraulic control unit pressure fluctuation observed,Hydraulics
flight data recorder stopped logging mid-flight,Avionics
Pilot reported: cockpit voice recorder audio channel not functioning,Avionics
Ground crew noted landing gear retraction sequence interrupted by fault signal,Landing Gear
Pilot reported: brake system hydraulic line showing signs of wear and seepage,Hydraulics
"During routine check, avionics bay temperature sensor reporting abnormal readings",Avionics
"During routine check, hydraulic pump motor overheating during ground testing",Hydraulics
Pilot reported: landing gear uplock mechanism failed to engage,Landing Gear
Inspection found that autothrottle system unresponsive during approach phase,Avionics
Pilot reported: avionics bay temperature sensor reporting abnormal readings,Avionics
Ground crew noted autothrottle system unresponsive during approach phase,Avionics
"During routine check, gear downlock sensor giving inconsistent readings",Landing Gear
"During routine check, landing gear tire showing excessive wear on inspection",Landing Gear
Pilot reported: cockpit voice recorder audio channel not functioning,Avionics
Maintenance report: landing gear warning horn activated during approach,Landing Gear
Maintenance report: landing gear warning horn activated during approach,Landing Gear
Ground crew noted hydraulic accumulator pressure reading below normal range,Hydraulics
Pilot reported: cargo door hydraulic lock mechanism not engaging properly,Hydraulics
flap actuation hydraulic pump making unusual noise,Hydraulics
flight data recorder stopped logging mid-flight,Avionics
Pilot reported: hydraulic filter clogged causing reduced system pressure,Hydraulics
flight management computer failed to boot on startup,Avionics
"During routine check, nose landing gear steering system misaligned during taxi",Landing Gear
Maintenance report: thrust reverser hydraulic actuator failed to deploy fully,Hydraulics
Ground crew noted navigation database failed to update before departure,Avionics
Maintenance report: nose gear indicator light not confirming down and locked position,Landing Gear
gear extension took longer than normal during approach,Landing Gear
Maintenance report: cargo door hydraulic lock mechanism not engaging properly,Hydraulics
Ground crew noted GPS navigation unit showing intermittent signal loss during flight,Avionics
Maintenance report: transponder not transmitting aircraft identification signal,Avionics
Ground crew noted hydraulic pump motor overheating during ground testing,Hydraulics
Pilot reported: spoiler hydraulic actuator responding slowly to input,Hydraulics
Inspection found that gear strut shock absorber leaking fluid on inspection,Landing Gear
Maintenance report: brake system hydraulic line showing signs of wear and seepage,Hydraulics
Ground crew noted transponder not transmitting aircraft identification signal,Avionics
Ground crew noted autopilot system disengaged unexpectedly at cruise altitude,Avionics
Maintenance report: hydraulic hose fitting found loose during inspection,Hydraulics
Ground crew noted autopilot system disengaged unexpectedly at cruise altitude,Avionics
GPS navigation unit showing intermittent signal loss during flight,Avionics
rudder hydraulic control unit pressure fluctuation observed,Hydraulics
Pilot reported: hydraulic filter clogged causing reduced system pressure,Hydraulics
Ground crew noted nose gear indicator light not confirming down and locked position,Landing Gear
Inspection found that cargo door hydraulic lock mechanism not engaging properly,Hydraulics
Maintenance report: main landing gear failed to retract after takeoff,Landing Gear
Inspection found that main gear wheel bearing overheating reported after landing,Landing Gear
Maintenance report: landing gear door failed to close after gear retraction,Landing Gear
altimeter reading inconsistent with actual altitude data,Avionics
thrust reverser hydraulic actuator failed to deploy fully,Hydraulics
landing gear strut showing corrosion near attachment point,Landing Gear
Inspection found that main gear wheel bearing overheating reported after landing,Landing Gear
brake system hydraulic line showing signs of wear and seepage,Hydraulics
Inspection found that nose landing gear steering system misaligned during taxi,Landing Gear
Inspection found that nose wheel steering hydraulic system delayed response noted,Hydraulics
"During routine check, landing gear door failed to close after gear retraction",Landing Gear
communication radio unit experiencing static interference,Avionics
Pilot reported: instrument landing system receiver malfunction reported by crew,Avionics
brake wear indicator on landing gear exceeding limit,Landing Gear
Inspection found that main landing gear failed to retract after takeoff,Landing Gear
Maintenance report: nose wheel steering hydraulic system delayed response noted,Hydraulics
Pilot reported: landing gear strut showing corrosion near attachment point,Landing Gear
Maintenance report: spoiler hydraulic actuator responding slowly to input,Hydraulics
Pilot reported: landing gear tire showing excessive wear on inspection,Landing Gear
Maintenance report: cockpit display screen flickering during pre-flight checks,Avionics
"During routine check, electronic flight bag application crashed during taxi",Avionics
Pilot reported: nose wheel steering hydraulic system delayed response noted,Hydraulics
brake wear indicator on landing gear exceeding limit,Landing Gear
flight data recorder stopped logging mid-flight,Avionics
"During routine check, navigation database failed to update before departure",Avionics
Ground crew noted hydraulic system warning light illuminated during taxi,Hydraulics
Inspection found that nose wheel steering hydraulic system delayed response noted,Hydraulics
"During routine check, communication radio unit experiencing static interference",Avionics
"During routine check, transponder not transmitting aircraft identification signal",Avionics
navigation database failed to update before departure,Avionics
Maintenance report: hydraulic accumulator pressure reading below normal range,Hydraulics
Ground crew noted hydraulic accumulator pressure reading below normal range,Hydraulics
Maintenance report: weather radar display showing corrupted imagery,Avionics
Pilot reported: hydraulic fluid leak detected near main landing gear actuator,Hydraulics
Pilot reported: thrust reverser hydraulic actuator failed to deploy fully,Hydraulics
Maintenance report: flap actuation hydraulic pump making unusual noise,Hydraulics
Ground crew noted gear extension took longer than normal during approach,Landing Gear
Ground crew noted landing gear tire showing excessive wear on inspection,Landing Gear
Ground crew noted brake system hydraulic line showing signs of wear and seepage,Hydraulics
Ground crew noted transponder not transmitting aircraft identification signal,Avionics
"During routine check, hydraulic fluid leak detected near main landing gear actuator",Hydraulics
Pilot reported: hydraulic system warning light illuminated during taxi,Hydraulics
avionics bay temperature sensor reporting abnormal readings,Avionics
"During routine check, gear strut shock absorber leaking fluid on inspection",Landing Gear
Maintenance report: hydraulic pressure dropped below minimum threshold during descent,Hydraulics
Ground crew noted landing gear strut showing corrosion near attachment point,Landing Gear
Ground crew noted landing gear warning horn activated during approach,Landing Gear
Inspection found that hydraulic filter clogged causing reduced system pressure,Hydraulics
Pilot reported: landing gear strut showing corrosion near attachment point,Landing Gear
"During routine check, landing gear uplock mechanism failed to engage",Landing Gear
Ground crew noted autopilot system disengaged unexpectedly at cruise altitude,Avionics
"During routine check, weather radar display showing corrupted imagery",Avionics
Maintenance report: cockpit display screen flickering during pre-flight checks,Avionics
Maintenance report: spoiler hydraulic actuator responding slowly to input,Hydraulics
"During routine check, rudder hydraulic control unit pressure fluctuation observed",Hydraulics
autopilot system disengaged unexpectedly at cruise altitude,Avionics
Pilot reported: tire pressure on main landing gear below recommended value,Landing Gear
electronic flight bag application crashed during taxi,Avionics
electronic flight bag application crashed during taxi,Avionics
Maintenance report: cockpit display screen flickering during pre-flight checks,Avionics
Ground crew noted hydraulic system warning light illuminated during taxi,Hydraulics
flight management computer failed to boot on startup,Avionics
Inspection found that electronic flight bag application crashed during taxi,Avionics
Pilot reported: hydraulic fluid leak detected near main landing gear actuator,Hydraulics
Inspection found that weather radar display showing corrupted imagery,Avionics
Ground crew noted hydraulic hose fitting found loose during inspection,Hydraulics
"During routine check, gear strut shock absorber leaking fluid on inspection",Landing Gear
hydraulic hose fitting found loose during inspection,Hydraulics
landing gear retraction sequence interrupted by fault signal,Landing Gear
"During routine check, hydraulic accumulator pressure reading below normal range",Hydraulics
Pilot reported: hydraulic reservoir fluid level below recommended minimum,Hydraulics
Pilot reported: cockpit voice recorder audio channel not functioning,Avionics
Maintenance report: tire pressure on main landing gear below recommended value,Landing Gear
Inspection found that navigation database failed to update before departure,Avionics
hydraulic filter clogged causing reduced system pressure,Hydraulics
Inspection found that tire pressure on main landing gear below recommended value,Landing Gear
hydraulic pressure dropped below minimum threshold during descent,Hydraulics
Maintenance report: instrument landing system receiver malfunction reported by crew,Avionics
Inspection found that brake wear indicator on landing gear exceeding limit,Landing Gear
Ground crew noted main landing gear failed to retract after takeoff,Landing Gear
Inspection found that nose landing gear steering system misaligned during taxi,Landing Gear
Inspection found that avionics bay temperature sensor reporting abnormal readings,Avionics
Pilot reported: landing gear door failed to close after gear retraction,Landing Gear
flight management computer failed to boot on startup,Avionics
Pilot reported: nose gear indicator light not confirming down and locked position,Landing Gear
"During routine check, altimeter reading inconsistent with actual altitude data",Avionics
Maintenance report: altimeter reading inconsistent with actual altitude data,Avionics
Ground crew noted landing gear warning horn activated during approach,Landing Gear
gear downlock sensor giving inconsistent readings,Landing Gear
"During routine check, communication radio unit experiencing static interference",Avionics
Ground crew noted hydraulic fluid leak detected near main landing gear actuator,Hydraulics
Ground crew noted hydraulic reservoir fluid level below recommended minimum,Hydraulics
Maintenance report: hydraulic pump motor overheating during ground testing,Hydraulics
Ground crew noted weather radar display showing corrupted imagery,Avionics
Pilot reported: cockpit display screen flickering during pre-flight checks,Avionics
Maintenance report: nose gear indicator light not confirming down and locked position,Landing Gear
Pilot reported: spoiler hydraulic actuator responding slowly to input,Hydraulics
"During routine check, main gear wheel bearing overheating reported after landing",Landing Gear
Ground crew noted GPS navigation unit showing intermittent signal loss during flight,Avionics
Inspection found that gear strut shock absorber leaking fluid on inspection,Landing Gear
Maintenance report: landing gear door failed to close after gear retraction,Landing Gear
Maintenance report: instrument landing system receiver malfunction reported by crew,Avionics
Maintenance report: hydraulic pump motor overheating during ground testing,Hydraulics
Pilot reported: autothrottle system unresponsive during approach phase,Avionics
"During routine check, cockpit voice recorder audio channel not functioning",Avionics
"During routine check, main gear wheel bearing overheating reported after landing",Landing Gear
"During routine check, landing gear tire showing excessive wear on inspection",Landing Gear
"During routine check, gear extension took longer than normal during approach",Landing Gear
Pilot reported: hydraulic reservoir fluid level below recommended minimum,Hydraulics
Ground crew noted gear extension took longer than normal during approach,Landing Gear
